,COD_CPPOP_CRI,IRPAR_USAGE_V12_MAX,IRPRO_USAGE_V12_MAX,QUA_INT_1_BRP,QUA_INT_MAX_BRP,CODTYP_CRT_TRAVAIL_CRI,COD_SITU_LOGT_CRI,COD_TYPE_MARCHE_CRI,IND_PRIMO_ACCEDT_CRI,TOP_NAT_FR_CRI,g_MNT_TOT_ASSURANCE_CRI,g_COUT_RACHAT_BRP,g_quotite,g_PCT_TEG_TAEG_CRI,g_MOY_ANC_PROF_BRP,g_BEST_APPORT_TX_BRP,defaut_36mois
108229,0,0,1,2,1,0,3,0,0,1,grp_2,grp_3,grp_1,grp_2,grp_1,,0
108230,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_1,,0
108231,1,0,1,0,0,2,2,0,1,1,grp_3,grp_3,grp_1,grp_2,grp_1,,0
108232,0,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_3,grp_2,grp_2,,0
108233,0,0,1,0,0,0,1,0,1,1,grp_1,grp_3,grp_3,grp_2,grp_1,grp_3,0
108234,0,0,1,0,0,0,3,0,1,0,grp_3,grp_3,grp_1,grp_3,grp_1,grp_1,0
108235,0,0,1,2,0,2,1,0,0,1,grp_2,grp_3,grp_3,grp_3,grp_3,grp_4,0
108236,0,2,1,0,0,0,1,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_3,,0
108237,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_1,,0
108238,2,0,1,0,1,2,3,0,1,1,grp_1,grp_1,grp_3,grp_3,grp_1,grp_1,0
108239,0,0,1,1,0,0,3,0,1,1,grp_2,grp_3,grp_2,grp_2,grp_1,,0
108240,0,2,1,0,0,0,3,0,0,1,grp_1,grp_3,grp_4,grp_1,grp_2,grp_4,0
108241,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_4,grp_3,grp_1,grp_4,0
108242,0,0,1,2,1,0,2,0,0,1,grp_1,grp_3,grp_4,grp_1,grp_3,grp_4,0
108243,2,2,1,0,0,2,3,0,1,1,grp_2,grp_1,grp_1,grp_2,grp_1,grp_1,0
108244,0,0,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_3,grp_2,grp_3,grp_3,0
108245,0,0,1,0,0,0,3,0,1,0,grp_3,grp_3,grp_4,grp_3,grp_1,grp_4,0
108246,1,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_4,grp_2,grp_3,grp_4,0
108247,2,2,1,0,1,2,1,0,1,1,grp_1,grp_1,grp_1,grp_2,grp_2,grp_2,0
108248,0,0,1,1,0,0,3,0,1,1,grp_2,grp_3,grp_2,grp_2,grp_1,,0
108249,2,0,1,1,0,2,3,0,1,1,grp_1,grp_3,grp_3,grp_3,grp_2,grp_1,0
108250,0,0,1,0,0,0,1,0,1,1,grp_2,grp_3,grp_2,grp_3,grp_2,grp_3,0
108251,1,0,1,2,1,0,1,0,0,1,grp_1,grp_3,grp_3,grp_2,grp_3,grp_3,0
108252,0,2,1,2,0,0,2,1,1,1,grp_3,grp_3,grp_1,grp_3,grp_3,grp_1,0
108253,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_4,grp_3,grp_1,grp_4,0
108254,0,0,1,2,1,0,3,0,1,1,grp_2,grp_3,grp_1,grp_4,grp_2,grp_1,1
